Time,Open,High,Low,Last,Change,%Chg,Volume
"08/16/2024 08:00",19478.75,19510.5,19473.75,19502.5,23.25,+0.12%,17380
"08/16/2024 07:30",19512,19512,19447.5,19479.25,-31.5,-0.16%,17532
"08/16/2024 07:00",19553.5,19565.75,19502.25,19510.75,-42.5,-0.22%,9107
"08/16/2024 06:30",19572.75,19588.25,19549.25,19553.25,-19.25,-0.10%,4694
"08/16/2024 06:00",19594.75,19600.5,19567.5,19572.5,-22.5,-0.11%,3930
"08/16/2024 05:30",19593.25,19599,19572.5,19595,2.5,+0.01%,3137
"08/16/2024 05:00",19619,19619.75,19578,19592.5,-27.25,-0.14%,4509
"08/16/2024 04:30",19635.5,19642.75,19612.5,19619.75,-16.25,-0.08%,2972
"08/16/2024 04:00",19625.75,19640.75,19617.25,19636,10,+0.05%,3129
"08/16/2024 03:30",19617.25,19629,19605,19626,9.25,+0.05%,2536
"08/16/2024 03:00",19634.5,19650.75,19609,19616.75,-17.25,-0.09%,4246
"08/16/2024 02:30",19655,19659.5,19629.25,19634,-21.75,-0.11%,4085
"08/16/2024 02:00",19670,19677.75,19645.5,19655.75,-14.25,-0.07%,4060
"08/16/2024 01:30",19668.25,19683,19662.25,19670,1.75,+0.01%,2534
"08/16/2024 01:00",19660.5,19673,19657,19668.25,8.25,+0.04%,2386
"08/16/2024 00:30",19641,19667,19641,19660,17.5,+0.09%,2450
"08/16/2024 00:00",19620.5,19647,19619.75,19642.5,21.5,+0.11%,1297
"08/15/2024 23:30",19623.5,19625.5,19612.5,19621,-3.75,-0.02%,935
"08/15/2024 23:00",19633.75,19635.5,19612,19624.75,-10.25,-0.05%,1252
"08/15/2024 22:30",19632.25,19643.5,19632,19635,3,+0.02%,867
"08/15/2024 22:00",19627.25,19636.5,19619,19632,4.25,+0.02%,1057
"08/15/2024 21:30",19630.75,19631.75,19622.25,19627.75,-2.5,-0.01%,579
"08/15/2024 21:00",19614,19644.5,19611.5,19630.25,16.75,+0.09%,2498
"08/15/2024 20:30",19609,19624.5,19600.5,19613.5,4.75,+0.02%,1328
"08/15/2024 20:00",19601.25,19611.5,19588,19608.75,6,+0.03%,1437
"08/15/2024 19:30",19615,19617.75,19576,19602.75,-11.75,-0.06%,2572
"08/15/2024 19:00",19614,19617.5,19592.25,19614.5,1,+0.01%,2248
"08/15/2024 18:30",19632.25,19635,19606,19613.5,-19.25,-0.10%,2168
"08/15/2024 18:00",19603.75,19640.75,19601.5,19632.75,30,+0.15%,2892
"08/15/2024 17:30",19592,19612.25,19587.5,19602.75,10.5,+0.05%,1879
"08/15/2024 17:00",19570.25,19595,19560.75,19592.25,24,+0.12%,2018
"08/15/2024 15:30",19586.5,19589.75,19561.75,19568.25,-18.5,-0.09%,3119
"08/15/2024 15:00",19587.25,19591.5,19560,19586.75,-0.5,0.00%,15184
"08/15/2024 14:30",19581.25,19603.25,19543,19587.25,5.75,+0.03%,50720
"08/15/2024 14:00",19584,19591.5,19562.75,19581.5,-2.25,-0.01%,18185
"08/15/2024 13:30",19581.75,19589.5,19566.25,19583.75,2.25,+0.01%,15618
"08/15/2024 13:00",19584,19592,19565.25,19581.5,-2.,-0.01%,17305
"08/15/2024 12:30",19542,19585,19541.5,19583.5,41.5,+0.21%,16254
"08/15/2024 12:00",19538,19555,19519.75,19542,4.5,+0.02%,18055
"08/15/2024 11:30",19566.5,19568,19513.25,19537.5,-29.25,-0.15%,23770
"08/15/2024 11:00",19526,19570,19524.25,19566.75,41,+0.21%,21819
"08/15/2024 10:30",19501.25,19547,19491.75,19525.75,24.5,+0.13%,24735
"08/15/2024 10:00",19481.5,19527.75,19471.5,19501.25,19.75,+0.10%,27833
"08/15/2024 09:30",19475.25,19514.75,19467.5,19481.5,6.5,+0.03%,33802
"08/15/2024 09:00",19461.25,19489.75,19405.5,19475,14.25,+0.07%,47028
"08/15/2024 08:30",19352,19462,19336.25,19460.75,108.5,+0.56%,67354
"08/15/2024 08:00",19335.5,19355.25,19317.25,19352.25,17,+0.09%,16936
"08/15/2024 07:30",19168.5,19371.5,19168.5,19335.25,169.75,+0.89%,34282
"08/15/2024 07:00",19164,19175.5,19138.25,19165.5,1.25,+0.01%,4825
"08/15/2024 06:30",19168.25,19183.25,19158,19164.25,-4.5,-0.02%,3818
"08/15/2024 06:00",19112.5,19177.5,19104.75,19168.75,56.75,+0.30%,6296
"08/15/2024 05:30",19137,19149.5,19112,19112,-24.5,-0.13%,3243
"08/15/2024 05:00",19166.75,19174.5,19132,19136.5,-29.5,-0.15%,2974
"08/15/2024 04:30",19164.5,19170.75,19156.25,19166,2.75,+0.01%,1621
"08/15/2024 04:00",19151.25,19165.75,19146.5,19163.25,11.25,+0.06%,1686
"08/15/2024 03:30",19148,19158.75,19123,19152,3.5,+0.02%,3182
"08/15/2024 03:00",19195,19198.5,19147,19148.5,-47.,-0.24%,2720
"08/15/2024 02:30",19186,19197.75,19171.5,19195.5,8.25,+0.04%,1518
"08/15/2024 02:00",19170,19189.75,19154.25,19187.25,16.25,+0.08%,2199
"08/15/2024 01:30",19148,19180,19146.25,19171,22.75,+0.12%,2215
"08/15/2024 01:00",19187.75,19187.75,19145.5,19148.25,-38.,-0.20%,2725
"08/15/2024 00:30",19186.25,19195.75,19170,19186.25,1.25,+0.01%,1964
"08/15/2024 00:00",19211.75,19211.75,19182.5,19185,-26.25,-0.14%,1922
"08/14/2024 23:30",19218.75,19219.75,19206,19211.25,-7.5,-0.04%,772
"08/14/2024 23:00",19215,19220.25,19212.75,19218.75,4.75,+0.02%,775
"08/14/2024 22:30",19205.5,19224.75,19205.5,19214,9,+0.05%,1393
"08/14/2024 22:00",19212.25,19219,19202,19205,-7.75,-0.04%,1220
"08/14/2024 21:30",19195,19217.5,19188.5,19212.75,17.75,+0.09%,3005
"08/14/2024 21:00",19166.75,19196.5,19158,19195,28.25,+0.15%,1897
"08/14/2024 20:30",19151.25,19171.5,19147.25,19166.75,15.75,+0.08%,1309
"08/14/2024 20:00",19165.5,19178,19145.5,19151,-15.,-0.08%,1969
"08/14/2024 19:30",19137.75,19173,19135.5,19166,27,+0.14%,2354
"08/14/2024 19:00",19108.5,19148.5,19106.25,19139,32.5,+0.17%,1953
"08/14/2024 18:30",19134,19136,19100.5,19106.5,-28.,-0.15%,1872
"08/14/2024 18:00",19129.25,19146.25,19129.25,19134.5,4.25,+0.02%,863
"08/14/2024 17:30",19122.75,19135,19122.25,19130.25,8,+0.04%,603
"08/14/2024 17:00",19142.5,19150,19121.25,19122.25,-24.75,-0.13%,1327
"08/14/2024 15:30",19155.5,19156.75,19138.75,19147,-8.25,-0.04%,2066
"08/14/2024 15:00",19107.75,19160.75,19102.25,19155.25,48,+0.25%,11651
"08/14/2024 14:30",19059.25,19142.25,19046,19107.25,48,+0.25%,32748
"08/14/2024 14:00",19109.25,19110,19038.25,19059.25,-50.75,-0.27%,19354
"08/14/2024 13:30",19087,19113,19069,19110,22,+0.12%,15004
"08/14/2024 13:00",19071.75,19090.75,19044.5,19088,16.25,+0.09%,16146
"08/14/2024 12:30",19083.75,19098.5,19054,19071.75,-12.75,-0.07%,15506
"08/14/2024 12:00",19070.25,19102.5,19052,19084.5,13.5,+0.07%,23489
"08/14/2024 11:30",19073.5,19086,19017.75,19071,-1.75,-0.01%,27965
"08/14/2024 11:00",19196.75,19198.25,19042.75,19072.75,-124.,-0.65%,41099
"08/14/2024 10:30",19107,19203.5,19106.75,19196.75,89.25,+0.47%,33246
"08/14/2024 10:00",19067,19107.75,19053.5,19107.5,40.75,+0.21%,28248
"08/14/2024 09:30",19007.75,19072.25,18925.5,19066.75,59,+0.31%,48228
"08/14/2024 09:00",19029,19055,18966,19007.75,-21.75,-0.11%,49028
"08/14/2024 08:30",19137.25,19175.5,19011,19029.5,-107.75,-0.56%,71432
"08/14/2024 08:00",19131.5,19153.5,19122,19137.25,7,+0.04%,9914
"08/14/2024 07:30",19105.5,19163.5,19000,19130.25,25,+0.13%,28318
"08/14/2024 07:00",19110.25,19128,19089.25,19105.25,-5.,-0.03%,5949
"08/14/2024 06:30",19104.25,19115.25,19097.75,19110.25,7,+0.04%,2337
"08/14/2024 06:00",19108.25,19118.75,19091.25,19103.25,-5.,-0.03%,2731
"08/14/2024 05:30",19111.5,19122.5,19099.25,19108.25,-4.25,-0.02%,2281
"08/14/2024 05:00",19096.5,19115.25,19093.5,19112.5,16.25,+0.09%,2721
"08/14/2024 04:30",19087.5,19101.5,19087.25,19096.25,9.25,+0.05%,1818
"08/14/2024 04:00",19088.25,19094,19074.75,19087,-1.,-0.01%,2203
"08/14/2024 03:30",19080.75,19094.75,19074.75,19088,8,+0.04%,2339
"08/14/2024 03:00",19095.75,19112.75,19063.5,19080,-15.5,-0.08%,5816
"08/14/2024 02:30",19096.75,19107.75,19088.75,19095.5,-1.,-0.01%,2437
"08/14/2024 02:00",19105.75,19115,19086.25,19096.5,-8.75,-0.05%,3637
"08/14/2024 01:30",19121.5,19133,19103.75,19105.25,-16.75,-0.09%,2484
"08/14/2024 01:00",19114,19125.5,19105.75,19122,6.75,+0.04%,2223
"08/14/2024 00:30",19102.5,19121,19098,19115.25,12.5,+0.07%,2097
"08/14/2024 00:00",19104,19115,19098,19102.75,-1.,-0.01%,1076
"08/13/2024 23:30",19113,19117.75,19101,19103.75,-8.,-0.04%,915
"08/13/2024 23:00",19108.25,19113.75,19102.75,19111.75,3.25,+0.02%,999
"08/13/2024 22:30",19104.25,19119.5,19095.5,19108.5,3.5,+0.02%,1667
"08/13/2024 22:00",19101.5,19112.5,19095,19105,4.75,+0.02%,1324
"08/13/2024 21:30",19096.75,19107.5,19081.75,19100.25,4.25,+0.02%,2238
"08/13/2024 21:00",19144.5,19148,19083.75,19096,-48.25,-0.25%,4713
"08/13/2024 20:30",19118.25,19153.25,19117.25,19144.25,25.75,+0.13%,3759
"08/13/2024 20:00",19108,19121,19100.5,19118.5,10.5,+0.05%,1690
"08/13/2024 19:30",19102.25,19112,19094.25,19108,5.5,+0.03%,1511
"08/13/2024 19:00",19117.25,19123.5,19092.25,19102.5,-14.25,-0.07%,2469
"08/13/2024 18:30",19115.75,19121.5,19109.25,19116.75,0.5,0.00%,1173
"08/13/2024 18:00",19097.75,19117.75,19093,19116.25,18.25,+0.10%,1183
"08/13/2024 17:30",19103.25,19104.5,19091,19098,-6.5,-0.03%,786
"08/13/2024 17:00",19099.25,19128,19087,19104.5,5.25,+0.03%,2907
"08/13/2024 15:30",19097.25,19104,19084,19099.25,2,+0.01%,3519
"08/13/2024 15:00",19101.25,19122.5,19081.5,19097.25,-4.,-0.02%,15099
"08/13/2024 14:30",19059.75,19112.5,19051.5,19101.25,41.25,+0.22%,39144
"08/13/2024 14:00",19082.5,19083.5,19032.25,19060,-22.25,-0.12%,20934
"08/13/2024 13:30",19071,19084.75,19062,19082.25,11.25,+0.06%,15386
"08/13/2024 13:00",19058,19074.25,19037.5,19071,13.5,+0.07%,14486
"08/13/2024 12:30",19070,19084,19006.5,19057.5,-12.25,-0.06%,24660
"08/13/2024 12:00",19073.75,19087.5,19056.5,19069.75,-4.,-0.02%,19284
"08/13/2024 11:30",19012,19075,18995.25,19073.75,62.25,+0.33%,26487
"08/13/2024 11:00",18981.25,19026,18966,19011.5,30.75,+0.16%,25043
"08/13/2024 10:30",18967.25,18997.5,18956.25,18980.75,13.5,+0.07%,22012
"08/13/2024 10:00",18941,18976.5,18933.5,18967.25,26.25,+0.14%,23853
"08/13/2024 09:30",18905.25,18951.5,18856,18941,36,+0.19%,34186
"08/13/2024 09:00",18899.25,18922.5,18870.5,18905,5.75,+0.03%,36996
"08/13/2024 08:30",18821.75,18911.5,18816.25,18899.25,77,+0.41%,57379
"08/13/2024 08:00",18815.25,18847,18791.25,18822.25,7.25,+0.04%,14280
"08/13/2024 07:30",18754.5,18825,18745.25,18815,62,+0.33%,19836
"08/13/2024 07:00",18712.75,18765.75,18710,18753,40.5,+0.22%,7811
"08/13/2024 06:30",18693,18713.5,18685.25,18712.5,20,+0.11%,3586
"08/13/2024 06:00",18658,18696,18648.5,18692.5,35,+0.19%,4657
"08/13/2024 05:30",18687.75,18695.75,18647.5,18657.5,-30.5,-0.16%,5895
"08/13/2024 05:00",18743.25,18745.25,18678.25,18688,-55.25,-0.29%,5203
"08/13/2024 04:30",18747,18763.5,18740,18743.25,-3.75,-0.02%,2679
"08/13/2024 04:00",18746.25,18749,18728.5,18747,1,+0.01%,2400
"08/13/2024 03:30",18755,18755.75,18735.25,18746,-10.,-0.05%,2800
"08/13/2024 03:00",18776.75,18780.75,18737,18756,-21.,-0.11%,4575
"08/13/2024 02:30",18787,18788,18769.75,18777,-10.,-0.05%,3308
"08/13/2024 02:00",18744,18817.25,18739.25,18787,43.5,+0.23%,8826
"08/13/2024 01:30",18699,18744.75,18694.5,18743.5,44.5,+0.24%,2561
"08/13/2024 01:00",18706.25,18713,18688.5,18699,-8.,-0.04%,2104
"08/13/2024 00:30",18708.25,18711.5,18696.75,18707,-1.,-0.01%,1746
"08/13/2024 00:00",18693.25,18711.5,18686,18708,14.25,+0.08%,1972
"08/12/2024 23:30",18682.75,18697,18679,18693.75,10.25,+0.05%,1557
"08/12/2024 23:00",18670.25,18684.75,18670,18683.5,13.5,+0.07%,1013
"08/12/2024 22:30",18678.75,18681,18665.5,18670,-7.5,-0.04%,943
"08/12/2024 22:00",18678,18691,18666.25,18677.5,0.25,0.00%,1668
"08/12/2024 21:30",18659.25,18678,18655.75,18677.25,18.75,+0.10%,1017
"08/12/2024 21:00",18653,18666.25,18652.25,18658.5,5,+0.03%,778
"08/12/2024 20:30",18651.75,18668.75,18650.75,18653.5,2.25,+0.01%,976
"08/12/2024 20:00",18673.75,18676,18639.25,18651.25,-22.25,-0.12%,2107
"08/12/2024 19:30",18642.25,18687.5,18640.25,18673.5,30.25,+0.16%,1998
"08/12/2024 19:00",18654.25,18658.75,18637,18643.25,-11.5,-0.06%,1293
"08/12/2024 18:30",18658,18668.75,18632.25,18654.75,-3.25,-0.02%,1178
"08/12/2024 18:00",18640.75,18658.75,18639.25,18658,18.5,+0.10%,590
"08/12/2024 17:30",18644.75,18644.75,18628.5,18639.5,-6.5,-0.03%,890
"08/12/2024 17:00",18648.25,18652.25,18634.75,18646,19.75,+0.11%,1215
"08/12/2024 15:30",18631.25,18633,18624,18626.25,-5.25,-0.03%,1719
"08/12/2024 15:00",18645.75,18659,18617.5,18631.5,-13.75,-0.07%,12491
"08/12/2024 14:30",18622,18647,18581.5,18645.25,24,+0.13%,34694
"08/12/2024 14:00",18647.5,18651,18611.25,18621.25,-25.75,-0.14%,16190
"08/12/2024 13:30",18621,18649.25,18606.5,18647,26,+0.14%,13947
"08/12/2024 13:00",18618.5,18643.25,18598,18621,2.75,+0.01%,15925
"08/12/2024 12:30",18653.75,18672.25,18586,18618.25,-35.25,-0.19%,17803
"08/12/2024 12:00",18622.75,18690,18596.25,18653.5,31,+0.17%,21938
"08/12/2024 11:30",18694.25,18716.75,18620.75,18622.5,-72.25,-0.39%,20241
"08/12/2024 11:00",18719.75,18731.75,18675.5,18694.75,-25.25,-0.13%,23800
"08/12/2024 10:30",18629.5,18727.5,18591,18720,90.25,+0.48%,32177
"08/12/2024 10:00",18728,18765.25,18576.25,18629.75,-97.75,-0.52%,42390
"08/12/2024 09:30",18697,18743.25,18691,18727.5,30.5,+0.16%,30596
"08/12/2024 09:00",18540.75,18728,18531,18697,156.75,+0.85%,48060
"08/12/2024 08:30",18641.25,18672.5,18523.5,18540.25,-101.,-0.54%,60190
"08/12/2024 08:00",18660,18672.5,18634.25,18641.25,-18.75,-0.10%,7190
"08/12/2024 07:30",18689.25,18692.5,18651,18660,-29.75,-0.16%,3981
"08/12/2024 07:00",18665.75,18693.5,18657.25,18689.75,25.75,+0.14%,3601
"08/12/2024 06:30",18671.75,18673,18640.25,18664,-9.,-0.05%,2792
"08/12/2024 06:00",18663.25,18683.25,18648,18673,10.75,+0.06%,3212
"08/12/2024 05:30",18666,18672,18656.25,18662.25,-3.,-0.02%,1333
"08/12/2024 05:00",18651.5,18669.25,18633.25,18665.25,14,+0.08%,1858
"08/12/2024 04:30",18643,18663,18640.5,18651.25,10.25,+0.05%,1566
"08/12/2024 04:00",18632.75,18657,18626.25,18641,7,+0.04%,1839
"08/12/2024 03:30",18673.25,18678.25,18628.25,18634,-40.75,-0.22%,2226
"08/12/2024 03:00",18678.25,18688.25,18665.5,18674.75,-4.25,-0.02%,2710
"08/12/2024 02:30",18644.25,18690.75,18628.25,18679,35.25,+0.19%,3717
"08/12/2024 02:00",18628,18654,18602.5,18643.75,17,+0.09%,4134
"08/12/2024 01:30",18629.75,18635.25,18611,18626.75,-2.75,-0.01%,1789
"08/12/2024 01:00",18646.25,18654.5,18620.75,18629.5,-16.25,-0.09%,2105
"08/12/2024 00:30",18646.5,18652,18635,18645.75,0,0.00%,1212
"08/12/2024 00:00",18646.25,18658.75,18637.25,18645.75,-1.25,-0.01%,877
"08/11/2024 23:30",18637,18652.25,18628.75,18647,9,+0.05%,773
"08/11/2024 23:00",18636.75,18640,18617.25,18638,0.75,0.00%,1001
"08/11/2024 22:30",18644,18647,18611.75,18637.25,-6.,-0.03%,1522
"08/11/2024 22:00",18652.75,18663,18643,18643.25,-9.25,-0.05%,932
"08/11/2024 21:30",18635.75,18667,18633,18652.5,15.25,+0.08%,1421
"08/11/2024 21:00",18608.5,18639,18607.5,18637.25,28.75,+0.15%,1281
"08/11/2024 20:30",18614.5,18626.75,18594.25,18608.5,-4.75,-0.03%,1883
"08/11/2024 20:00",18604.75,18618.25,18582.5,18613.25,6.75,+0.04%,1384
"08/11/2024 19:30",18603.75,18620.25,18598,18606.5,3,+0.02%,1275
"08/11/2024 19:00",18629,18633.25,18588.75,18603.5,-23.25,-0.12%,2411
"08/11/2024 18:30",18607.5,18643.5,18582.5,18626.75,19.25,+0.10%,2255
"08/11/2024 18:00",18597,18624,18595.5,18607.5,11.25,+0.06%,1763
"08/11/2024 17:30",18558,18609.25,18548.5,18596.25,38,+0.20%,2118
"08/11/2024 17:00",18590,18659,18515,18558.25,-44.25,-0.24%,5962
"08/09/2024 15:30",18604.5,18608.5,18591.25,18602.5,-2.75,-0.01%,1920
"08/09/2024 15:00",18609.75,18622.5,18594.25,18605.25,-4.5,-0.02%,8153
"08/09/2024 14:30",18607.75,18633.75,18576.75,18609.75,2.75,+0.01%,32533
"08/09/2024 14:00",18594.5,18627.5,18566.75,18607,12,+0.06%,18462
"08/09/2024 13:30",18587.5,18612.75,18563.25,18595,6.75,+0.04%,16748
"08/09/2024 13:00",18610.75,18628.5,18567.25,18588.25,-20.5,-0.11%,17677
"08/09/2024 12:30",18655.25,18674.5,18588.5,18608.75,-46.75,-0.25%,22196
"08/09/2024 12:00",18529.75,18657.5,18521.5,18655.5,126,+0.68%,23913
"08/09/2024 11:30",18481,18531,18478.25,18529.5,47.75,+0.26%,15698
"08/09/2024 11:00",18480.5,18499.5,18455.5,18481.75,1.5,+0.01%,18005
"08/09/2024 10:30",18508.5,18549.25,18470,18480.25,-27.75,-0.15%,23902
"08/09/2024 10:00",18526,18578.75,18507,18508,-18.25,-0.10%,28364
"08/09/2024 09:30",18495.25,18559.75,18436.25,18526.25,30.5,+0.16%,37009
"08/09/2024 09:00",18431.75,18566.5,18404.5,18495.75,63.75,+0.35%,45812
"08/09/2024 08:30",18451,18528.75,18423.25,18432,-18.,-0.10%,61243
"08/09/2024 08:00",18423.5,18460,18404,18450,26.5,+0.14%,11046
"08/09/2024 07:30",18455.25,18456.75,18383,18423.5,-32.,-0.17%,14579
"08/09/2024 07:00",18526,18527.5,18448,18455.5,-70.5,-0.38%,7961
"08/09/2024 06:30",18534,18540,18488.25,18526,-6.25,-0.03%,6848
"08/09/2024 06:00",18572.25,18598.25,18518.75,18532.25,-39.5,-0.21%,5185
"08/09/2024 05:30",18588,18591.5,18559.25,18571.75,-16.,-0.09%,3148
"08/09/2024 05:00",18616.25,18616.25,18549,18587.75,-27.75,-0.15%,3754
"08/09/2024 04:30",18622.5,18627,18584.75,18615.5,-8.5,-0.05%,4212
"08/09/2024 04:00",18638,18647.5,18615.5,18624,-13.25,-0.07%,2743
"08/09/2024 03:30",18595,18651,18589,18637.25,42.75,+0.23%,5412
"08/09/2024 03:00",18547.75,18597,18547.75,18594.5,48,+0.26%,6236
"08/09/2024 02:30",18543.25,18561.25,18511.75,18546.5,4.25,+0.02%,3540
"08/09/2024 02:00",18539.75,18552.25,18493,18542.25,3.5,+0.02%,4390
"08/09/2024 01:30",18511.75,18558,18504.25,18538.75,27,+0.15%,2490
"08/09/2024 01:00",18513.75,18520.75,18491.5,18511.75,-2.,-0.01%,1907
"08/09/2024 00:30",18493,18535.75,18487.5,18513.75,19.5,+0.11%,2720
"08/09/2024 00:00",18456.5,18498.25,18435.25,18494.25,37.25,+0.20%,3475
"08/08/2024 23:30",18563,18567.75,18430.25,18457,-107.,-0.58%,4197
"08/08/2024 23:00",18565,18589.75,18558,18564,-1.25,-0.01%,1263
"08/08/2024 22:30",18564,18572.25,18539.25,18565.25,2,+0.01%,1639
"08/08/2024 22:00",18587.5,18594,18561.25,18563.25,-24.,-0.13%,1260
"08/08/2024 21:30",18565.25,18596,18563,18587.25,21.75,+0.12%,1572
"08/08/2024 21:00",18542.75,18572,18528,18565.5,20.25,+0.11%,1679
"08/08/2024 20:30",18526,18566.5,18526,18545.25,19,+0.10%,2479
"08/08/2024 20:00",18520.25,18543,18512,18526.25,7.25,+0.04%,2003
"08/08/2024 19:30",18527,18540,18490.25,18519,-8.5,-0.05%,3993
"08/08/2024 19:00",18599.75,18601,18527.5,18527.5,-74.5,-0.40%,3705
"08/08/2024 18:30",18572,18609,18568.5,18602,29.5,+0.16%,2044
"08/08/2024 18:00",18562.25,18617,18557.5,18572.5,10.25,+0.06%,3397
"08/08/2024 17:30",18558,18565.75,18534,18562.25,4.25,+0.02%,1123
"08/08/2024 17:00",18550.25,18574,18527.5,18558,0,0.00%,2899
"08/08/2024 15:30",18567.75,18576.25,18554.25,18558,-10.25,-0.06%,3583
"08/08/2024 15:00",18518.75,18593.5,18511.75,18568.25,49,+0.26%,20153
"08/08/2024 14:30",18443.25,18539.75,18404.25,18519.25,76.75,+0.42%,54182
"08/08/2024 14:00",18493.5,18512.25,18436,18442.5,-49.75,-0.27%,28708
"08/08/2024 13:30",18512.5,18536,18472.25,18492.25,-20.,-0.11%,21143
